Image,dst_type,dst_lev,dmos_std,dmos
coast-bea1,coast,1,0.04582575695,0.16
coast-bea1,coast,2,0.1078579312,0.2766666667
coast-bea1,coast,3,0.12489996,0.45
coast-bea1,coast,4,0.2136195996,0.6766666667
coast-bea2,coast,1,0.3551056181,0.3
coast-bea2,coast,2,0.3195309062,0.46
coast-bea2,coast,3,0.3082747692,0.5533333333
coast-bea2,coast,4,0.2203028219,0.7133333333
coast-bea20,coast,1,0.07094598885,0.1233333333
coast-bea20,coast,2,0.09018499506,0.1866666667
coast-bea20,coast,3,0.308058436,0.5
coast-bea20,coast,4,0.2165640783,0.72
coast-bea26,coast,1,0.03785938897,0.2133333333
coast-bea26,coast,2,0.14571662,0.3633333333
coast-bea26,coast,3,0.07549834435,0.82
coast-bea26,coast,4,0.02886751346,0.9566666667
coast-bea30,coast,1,0.1452583905,0.21
coast-bea30,coast,2,0.256580072,0.3933333333
coast-bea30,coast,3,0.1418919777,0.7166666667
coast-bea30,coast,4,0.05507570547,0.9366666667
coast-bea9,coast,1,0.4135617648,0.4033333333
coast-bea9,coast,2,0.1907878403,0.48
coast-bea9,coast,3,0.05567764363,0.66
coast-bea9,coast,4,0.4371498599,0.65
coast-cdmc123,coast,1,0.1258305739,0.1833333333
coast-cdmc123,coast,2,0.1497776129,0.2333333333
coast-cdmc123,coast,3,0.2307234997,0.4866666667
coast-cdmc123,coast,4,0.2095232684,0.72
coast-cdmc706,coast,1,0.06506407099,0.1266666667
coast-cdmc706,coast,2,0.1708800749,0.26
coast-cdmc706,coast,3,0.290229794,0.6733333333
coast-cdmc706,coast,4,0.1311487705,0.87
coast-cdmc821,coast,1,0.0692820323,0.16
coast-cdmc821,coast,2,0.1558845727,0.23
coast-cdmc821,coast,3,0.162583312,0.4166666667
coast-cdmc821,coast,4,0.196977156,0.64
coast-cdmc830,coast,1,0.01154700538,0.1066666667
coast-cdmc830,coast,2,0.1882374387,0.4133333333
coast-cdmc830,coast,3,0.1609347694,0.66
coast-cdmc830,coast,4,0.03511884584,0.7666666667
coast-cdmc900,coast,1,0.1026320288,0.1233333333
